id,title,company,skills,location,salary_min,salary_max,type,age_preference,experience_required,education_required,description,category,source,job_url,scraped_at,skills_source,salary_source
scraped_vieclam24h_00000,Kế Toán,,Kế toán,Hồ Chí Minh,25000000,25000000,full-time,any,0,high,Kế Toán Trưởng - Lương 20-25Tr - Đi Làm Ngay,accounting,Vieclam24h,https://vieclam24h.vn/ke-toan/ke-toan-truong-luong-20-25tr-di-lam-ngay-c17p73id200804197.html,2026-04-14T18:49:44.408533,title,original
scraped_vieclam24h_00001,Nhân Viên Kế Toán Tổng Hợp (Thu Nhập 14 -,,Kế toán,Hồ Chí Minh,15000000,15000000,full-time,any,0,high,Nhân Viên Kế Toán Tổng Hợp (Thu Nhập 14 - 15 Triệu) _Nữ,accounting,Vieclam24h,https://vieclam24h.vn/ke-toan/nhan-vien-ke-toan-tong-hop-thu-nhap-14-15-trieu-nu-c17p122id200803885.html,2026-04-14T18:49:44.408609,title,original
scraped_vieclam24h_00002,Miền,,Kế toán|Kinh doanh|Cơ khí|Kho vận,Hồ Chí Minh,9600000,18000000,full-time,any,0,high,"Miền Trung - Quản Lý Kinh Doanh Khu Vực (Nhánh Ngành Hàng Mới: Gym, Nội Thất, Nha Khoa,....)",accounting,Vieclam24h,https://vieclam24h.vn/ban-hang-kinh-doanh/mien-trung-quan-ly-kinh-doanh-khu-vuc-nhanh-nganh-hang-moi-gym-noi-that-nha-khoa-c13p108id200800856.html,2026-04-14T18:49:44.408662,title,inferred
scraped_vieclam24h_00003,Công Ty Tài Chính,,Kế toán|Tài chính|Cơ khí|IT,Hồ Chí Minh,12000000,21600000,full-time,any,0,high,Công Ty Tài Chính Trách Nhiệm Hữu Hạn Một Thành Viên Home Credit Việt Nam,accounting,Vieclam24h,https://vieclam24h.vn/ban-hang-kinh-doanh/mien-trung-quan-ly-kinh-doanh-khu-vuc-nhanh-nganh-hang-moi-gym-noi-that-nha-khoa-c13p108id200800856.html,2026-04-14T18:49:44.408713,title,inferred
scraped_vieclam24h_00004,Công Ty TNHH TM Xnk Phú Lộc,,,Hồ Chí Minh,9600000,18000000,full-time,any,0,high,Công Ty TNHH TM Xnk Phú Lộc Trường,other,Vieclam24h,https://vieclam24h.vn/ke-toan/ke-toan-tong-hop-quan-binh-tan-nhan-viec-ngay-c17p122id200795692.html,2026-04-14T18:49:44.408759,original,inferred
scraped_vieclam24h_00005,Công Ty TNHH Vietnam Concentrix Services,,,Hồ Chí Minh,7200000,14400000,full-time,any,0,high,Công Ty TNHH Vietnam Concentrix Services,service,Vieclam24h,https://vieclam24h.vn/tai-chinh-dau-tu-chung-khoan/nhan-vien-admin-van-phong-di-lam-ngay-quan-11-thu-duc-c18p122id200800931.html,2026-04-14T18:49:44.408808,original,inferred
scraped_vieclam24h_00006,Admin Văn Phòng Đi Làm Ngay Thu Nhập,,Hành chính,Hồ Chí Minh,12000000,12000000,full-time,any,0,high,Admin Văn Phòng Đi Làm Ngay Thu Nhập Trên 12 Triệu,other,Vieclam24h,https://vieclam24h.vn/cham-soc-khach-hang/admin-van-phong-di-lam-ngay-thu-nhap-tren-12-trieu-c30p122id200803167.html,2026-04-14T18:49:44.408853,title,original
scraped_vieclam24h_00008,Kế Toán Tổng Hợp - Thu Nhập,,Kế toán,Hồ Chí Minh,12000000,21600000,full-time,any,0,high,Kế Toán Tổng Hợp - Thu Nhập Trên 12M,accounting,Vieclam24h,https://vieclam24h.vn/ke-toan/ke-toan-tong-hop-thu-nhap-tren-12m-c17p122id200793516.html,2026-04-14T18:49:44.408988,title,inferred
scraped_vieclam24h_00009,Nhân Viên Kinh Doanh Chăm Sóc Khách Hàng - Bảo Hiểm Fwd (Có Hỗ,,Kinh doanh|Cơ khí|Giúp việc|Tài chính|IT,Hồ Chí Minh,9600000,18000000,full-time,any,0,high,Nhân Viên Kinh Doanh Chăm Sóc Khách Hàng - Bảo Hiểm Fwd (Có Hỗ Trợ Data),sales,Vieclam24h,https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-cham-soc-khach-hang-bao-hiem-fwd-co-ho-tro-data-c13p122id200801854.html,2026-04-14T18:49:44.409053,title,inferred
scraped_vieclam24h_00010,Nhân Viên Kinh Doanh Bất Động Sản Lương Cơ Bản Upto,,Kinh doanh|Bất động sản|Thẩm định|IT|Marketing,Hồ Chí Minh,30000000,30000000,full-time,any,0,high,Nhân Viên Kinh Doanh Bất Động Sản Lương Cơ Bản Upto 30 Triệu - Hỗ Trợ 100% Data Marketing Net,sales,Vieclam24h,https://vieclam24h.vn/tai-chinh-dau-tu-chung-khoan/nhan-vien-kinh-doanh-bat-dong-san-luong-co-ban-upto-30-trieu-ho-tro-100-data-marketing-net-c18p104id200800719.html,2026-04-14T18:49:44.409111,title,original
