id,age,gender,education,marital_status,skills,experience_years,location,target_job,barriers,employment_status,current_salary
worker_0001,52,other,none,single,salary_range,23,Đà Nẵng,Nhân viên kho vận,,unemployed,0
worker_0002,51,male,university,single,salary_range|skills,26,Vinhy,Kế toán / Hành chính,other|health|location,retired,4733117
worker_0003,46,female,none,married,salary_range|skills,26,Nam Định,Nhân viên kho vận,health,retired,7592604
worker_0004,39,female,vocational,married,salary_range|skills,12,Đà Nẵng,Công nhân sản xuất,health|family,unemployed,0
worker_0005,42,female,vocational,divorced,skills|salary_range,19,Thái Nguyên,Nhân viên bán hàng,other,employed,3481900
worker_0006,63,female,high,married,salary_range|skills,30,Nam Định,Nông dân / Nông nghiệp,techGap|location,retired,9727234
worker_0007,37,male,none,divorced,salary_range|skills,7,Biên Hòa,Kế toán / Hành chính,location|family,unemployed,0
worker_0008,56,male,middle,divorced,salary_range|skills,28,Huế,Giúp việc / Dịch vụ,family|location,retired,3088321
worker_0009,36,female,vocational,widowed,salary_range|skills,8,Huế,Nhân viên bán hàng,,unemployed,0
worker_0010,50,female,university,widowed,salary_range|skills,29,Thanh Hóa,Lái xe,,unemployed,0
worker_0011,54,male,vocational,widowed,salary_range,26,Buôn Ma Thuột,Nông dân / Nông nghiệp,,retired,5042683
worker_0012,43,male,none,married,salary_range,18,Buôn Ma Thuột,Nhân viên kho vận,other,unemployed,0
worker_0013,38,male,middle,divorced,skills|salary_range,12,Thanh Hóa,Nhân viên phục vụ,location,retired,12198654
worker_0014,53,other,none,married,salary_range|skills,30,Nha Trang,Nhân viên bán hàng,health|family|other,employed,9186706
worker_0015,44,other,university,widowed,skills|salary_range,22,Nha Trang,Giúp việc / Dịch vụ,techGap,retired,6966515
worker_0016,56,female,vocational,widowed,salary_range,26,Bình Dương,Lái xe,health|other,unemployed,0
worker_0017,63,female,primary,divorced,salary_range|skills,30,Huế,Nhân viên phục vụ,health|other,retired,13192063
worker_0018,48,male,college,divorced,skills|salary_range,20,Bắc Ninh,Nhân viên bán hàng,,retired,8229740
worker_0019,63,female,high,divorced,salary_range,30,Huế,Nhân viên kho vận,,employed,5665709
worker_0020,58,female,primary,married,salary_range|skills,30,Buôn Ma Thuột,Giúp việc / Dịch vụ,health,employed,11813252
worker_0021,47,male,middle,single,skills|salary_range,19,Vinhy,Lái xe,other|techGap,retired,5586055
worker_0022,43,female,vocational,single,salary_range|skills,18,Nha Trang,Nhân viên kho vận,,self-employed,14345541
worker_0023,43,other,middle,divorced,skills|salary_range,20,Vũng Tàu,Thợ lành nghề,location|other,unemployed,0
worker_0024,51,other,middle,single,salary_range|skills,30,Qui Nhơn,Nông dân / Nông nghiệp,,retired,3832881
worker_0025,40,male,college,divorced,salary_range|skills,14,Bắc Ninh,Pha chế,techGap,self-employed,12810541
worker_0026,49,male,high,divorced,salary_range|skills,27,Hải Phòng,Nông dân / Nông nghiệp,other|location,retired,8872679
worker_0027,64,other,middle,married,skills|salary_range,30,Bắc Ninh,Bảo vệ,,employed,8827662
worker_0028,59,male,vocational,divorced,salary_range|skills,30,Nam Định,Kế toán / Hành chính,,employed,7757656
worker_0029,59,male,university,widowed,skills|salary_range,30,Biên Hòa,Thợ lành nghề,,employed,12636771
worker_0030,58,male,none,widowed,salary_range|skills,30,Bắc Ninh,Nhân viên kho vận,,employed,11233748
worker_0031,46,female,vocational,single,salary_range|skills,22,Đà Nẵng,Nông dân / Nông nghiệp,,employed,7828146
worker_0032,40,male,middle,single,salary_range|skills,10,Qui Nhơn,Thợ lành nghề,techGap|location|other,retired,7651195
worker_0033,65,female,none,single,skills,30,Bắc Ninh,Bảo vệ,health|techGap,self-employed,6691251
worker_0034,40,male,none,divorced,salary_range|skills,14,TP. Hồ Chí Minh,Lao động xây dựng,other,unemployed,0
worker_0035,64,female,university,single,skills|salary_range,30,Buôn Ma Thuột,Lao động xây dựng,family|other|health,unemployed,0
worker_0036,63,other,none,single,skills,30,Vĩnh Phúc,Nông dân / Nông nghiệp,location|techGap,unemployed,0
worker_0037,41,female,none,widowed,salary_range|skills,14,Đà Nẵng,Công nhân sản xuất,other,employed,11198253
worker_0038,45,male,primary,married,skills|salary_range,24,Vũng Tàu,Nhân viên phục vụ,health|location|family,retired,10379780
worker_0039,43,male,university,widowed,skills|salary_range,17,Biên Hòa,Nhân viên bán hàng,family|location|other,self-employed,7413115
worker_0040,55,male,high,widowed,salary_range|skills,30,Hải Phòng,Thợ lành nghề,techGap,unemployed,0
worker_0041,47,other,none,single,skills|salary_range,18,Thanh Hóa,Pha chế,location|techGap,employed,6543797
worker_0042,46,male,none,married,salary_range|skills,26,Vũng Tàu,Bảo vệ,health,retired,10284343
worker_0043,65,other,college,single,salary_range|skills,30,Thái Nguyên,Giúp việc / Dịch vụ,health|location,self-employed,6141534
worker_0044,37,other,primary,divorced,salary_range|skills,9,Thanh Hóa,Lao động xây dựng,other,unemployed,0
worker_0045,39,female,primary,single,skills|salary_range,15,Biên Hòa,Lái xe,location|other,self-employed,10289034
worker_0046,57,other,vocational,widowed,skills|salary_range,30,Bắc Ninh,Thợ lành nghề,location|health|techGap,unemployed,0
worker_0047,39,female,none,divorced,skills|salary_range,12,Bắc Ninh,Giúp việc / Dịch vụ,,self-employed,10908210
worker_0048,64,other,none,divorced,salary_range,30,Vũng Tàu,Lái xe,techGap,retired,8749122
worker_0049,63,male,vocational,married,salary_range|skills,30,Đà Nẵng,Thợ lành nghề,,employed,7277965
worker_0050,56,other,none,single,salary_range|skills,26,Bắc Ninh,Nông dân / Nông nghiệp,health|techGap,retired,6421827
worker_0051,37,male,middle,married,salary_range|skills,9,Vũng Tàu,Nhân viên bán hàng,health|other,self-employed,14113838
worker_0052,59,male,middle,divorced,salary_range|skills,30,Bình Dương,Bảo vệ,,self-employed,14917156
worker_0053,65,female,primary,divorced,skills,30,Hải Dương,Lái xe,techGap|health,retired,12725871
worker_0054,35,female,none,divorced,salary_range|skills,8,Cần Thơ,Nhân viên kho vận,techGap,unemployed,0
worker_0055,37,other,vocational,divorced,skills|salary_range,13,Bắc Ninh,Bảo vệ,techGap|health|family,retired,13956556
worker_0056,53,male,vocational,divorced,skills|salary_range,30,Bắc Ninh,Nhân viên kho vận,other,employed,12230179
worker_0057,47,female,university,single,salary_range,26,Vũng Tàu,Nông dân / Nông nghiệp,family|location|techGap,retired,9435235
worker_0058,35,male,high,married,salary_range|skills,8,Thái Nguyên,Nhân viên phục vụ,techGap,employed,14729103
worker_0059,46,male,primary,married,skills|salary_range,20,Vinhy,Pha chế,family|techGap,unemployed,0
worker_0060,65,other,high,divorced,skills|salary_range,30,Vũng Tàu,Kế toán / Hành chính,location,employed,13100301
worker_0061,51,female,middle,divorced,skills|salary_range,25,Bắc Ninh,Bảo vệ,techGap|location|family,unemployed,0
worker_0062,37,female,none,single,skills|salary_range,16,Bình Dương,Thợ lành nghề,location,self-employed,12309629
worker_0063,56,female,university,divorced,salary_range,30,Hải Dương,Nông dân / Nông nghiệp,,employed,9431255
worker_0064,37,female,none,divorced,skills|salary_range,13,Hải Dương,Công nhân sản xuất,family|other|location,employed,13444800
worker_0065,44,male,vocational,divorced,skills|salary_range,19,Vĩnh Phúc,Lao động xây dựng,health|location|family,unemployed,0
worker_0066,58,male,university,married,salary_range|skills,29,Vinhy,Kế toán / Hành chính,techGap|health|other,retired,12949806
worker_0067,37,female,college,divorced,skills|salary_range,15,Qui Nhơn,Nông dân / Nông nghiệp,location|techGap|other,self-employed,9253588
worker_0068,44,male,university,married,salary_range|skills,23,Nam Định,Giúp việc / Dịch vụ,location|techGap|family,retired,4211945
worker_0069,41,female,middle,single,salary_range|skills,17,Vinhy,Bảo vệ,health|family|location,unemployed,0
worker_0070,58,female,vocational,divorced,skills|salary_range,30,Huế,Nhân viên kho vận,other,self-employed,14098897
worker_0071,57,other,high,widowed,skills|salary_range,30,Vinhy,Lao động xây dựng,other|health|location,retired,4956687
worker_0072,44,male,middle,widowed,skills|salary_range,19,Biên Hòa,Lái xe,,unemployed,0
worker_0073,35,male,university,married,skills|salary_range,10,Biên Hòa,Nông dân / Nông nghiệp,family|location,unemployed,0
worker_0074,36,male,college,single,skills|salary_range,13,TP. Hồ Chí Minh,Lao động xây dựng,,unemployed,0
worker_0075,64,other,none,married,skills|salary_range,30,Bắc Ninh,Nhân viên kho vận,other|health,unemployed,0
worker_0076,57,female,vocational,widowed,salary_range,29,Vĩnh Phúc,Nông dân / Nông nghiệp,techGap,retired,6755184
worker_0077,47,male,none,widowed,skills|salary_range,24,TP. Hồ Chí Minh,Kế toán / Hành chính,,self-employed,6936936
worker_0078,61,other,vocational,married,salary_range|skills,30,Hà Nội,Nhân viên phục vụ,location|health,unemployed,0
worker_0079,51,other,primary,divorced,salary_range|skills,24,Vinhy,Bảo vệ,techGap|location,retired,14974549
