id,age,gender,education,marital_status,skills,experience_years,location,target_job,barriers,employment_status,current_salary,education_level_num,skills_normalized,barrier_health,barrier_family,barrier_techGap,barrier_location,barrier_language,barrier_score,barrier_level,region,location_normalized,cleaned_at
worker_0001,52,other,primary,single,salary_range,23.0,Đà Nẵng,Nhân viên kho vận,,unemployed,0,1,True,0,0,0,0,0,0.0,low,central,đà nẵng,2026-04-19T00:38:59.533365
worker_0002,51,male,university,single,salary_range|skills,26.0,Vinhy,Kế toán / Hành chính,other|health|location,retired,4733117,5,True,1,0,0,1,0,3.0,medium,north,nghệ an,2026-04-19T00:38:59.533420
worker_0003,46,female,primary,married,salary_range|skills,26.0,Nam Định,Nhân viên kho vận,health,retired,7592604,1,True,1,0,0,0,0,2.0,medium,north,nam định,2026-04-19T00:38:59.533483
worker_0004,39,female,college,married,salary_range|skills,12.0,Đà Nẵng,Công nhân sản xuất,health|family,unemployed,0,4,True,1,1,0,0,0,3.5,medium,central,đà nẵng,2026-04-19T00:38:59.533527
worker_0005,42,female,college,divorced,salary_range|skills,19.0,Thái Nguyên,Nhân viên bán hàng,other,employed,3481900,4,True,0,0,0,0,0,0.0,low,north,thái nguyên,2026-04-19T00:38:59.533586
worker_0006,63,female,upper_secondary,married,salary_range|skills,30.0,Nam Định,Nông dân / Nông nghiệp,techGap|location,retired,9727234,3,True,0,0,1,1,0,2.5,medium,north,nam định,2026-04-19T00:38:59.533645
worker_0008,56,male,upper_secondary,divorced,salary_range|skills,28.0,Huế,Giúp việc / Dịch vụ,family|location,retired,3088321,3,True,0,1,0,1,0,2.5,medium,central,thừa thiên huế,2026-04-19T00:38:59.533741
worker_0009,36,female,college,widowed,salary_range|skills,8.0,Huế,Nhân viên bán hàng,,unemployed,0,4,True,0,0,0,0,0,0.0,low,central,thừa thiên huế,2026-04-19T00:38:59.533766
worker_0010,50,female,university,widowed,salary_range|skills,29.0,Thanh Hóa,Lái xe,,unemployed,0,5,True,0,0,0,0,0,0.0,low,north,thanh hóa,2026-04-19T00:38:59.533810
worker_0013,38,male,upper_secondary,divorced,salary_range|skills,12.0,Thanh Hóa,Nhân viên phục vụ,location,retired,12198654,3,True,0,0,0,1,0,1.0,low,north,thanh hóa,2026-04-19T00:38:59.534023
worker_0014,53,other,primary,married,salary_range|skills,30.0,Nha Trang,Nhân viên bán hàng,health|family|other,employed,9186706,1,True,1,1,0,0,0,3.5,medium,central,khánh hòa,2026-04-19T00:38:59.534061
worker_0015,44,other,university,widowed,salary_range|skills,22.0,Nha Trang,Giúp việc / Dịch vụ,techGap,retired,6966515,5,True,0,0,1,0,0,1.5,low,central,khánh hòa,2026-04-19T00:38:59.534098
worker_0016,56,female,college,widowed,salary_range,26.0,Bình Dương,Lái xe,health|other,unemployed,0,4,True,1,0,0,0,0,2.0,medium,south_east,bình dương,2026-04-19T00:38:59.534168
worker_0017,63,female,primary,divorced,salary_range|skills,30.0,Huế,Nhân viên phục vụ,health|other,retired,13192063,1,True,1,0,0,0,0,2.0,medium,central,thừa thiên huế,2026-04-19T00:38:59.534212
worker_0018,48,male,college,divorced,salary_range|skills,20.0,Bắc Ninh,Nhân viên bán hàng,,retired,8229740,4,True,0,0,0,0,0,0.0,low,north,bắc ninh,2026-04-19T00:38:59.534276
