id,age,gender,education,marital_status,skills,experience_years,location,target_job,barriers,employment_status,current_salary,location_normalized,region,salary_anomaly,salary_zero_retired,quality_score,quality_grade
worker_0001,52,other,primary,single,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,23,Đà Nẵng,Nhân viên kho vận,,unemployed,0,Đà Nẵng,central,False,False,100,A
worker_0002,51,male,university,single,hành chính|kế toán|văn phòng|salary_range,26,Vinhy,Kế toán / Hành chính,other|health|location,retired,4733117,Vinh,north,False,False,100,A
worker_0003,46,female,primary,married,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,26,Nam Định,Nhân viên kho vận,health,retired,7592604,Nam Định,north,False,False,100,A
worker_0004,39,female,college,married,lắp ráp|sản xuất|vận hành máy|salary_range,12,Đà Nẵng,Công nhân sản xuất,health|family,unemployed,0,Đà Nẵng,central,False,False,100,A
worker_0005,42,female,college,divorced,bán hàng|chăm sóc khách hàng|tư vấn|salary_range,19,Thái Nguyên,Nhân viên bán hàng,other,employed,3481900,Thái Nguyên,north,False,False,100,A
worker_0006,63,female,upper_secondary,married,chăn nuôi|nông nghiệp|trồng trọt|salary_range,30,Nam Định,Nông dân / Nông nghiệp,techGap|location,retired,9727234,Nam Định,north,False,False,100,A
worker_0007,37,male,primary,divorced,hành chính|kế toán|văn phòng|salary_range,7,Biên Hòa,Kế toán / Hành chính,location|family,unemployed,0,Biên Hòa,south_east,False,False,100,A
worker_0008,56,male,upper_secondary,divorced,dọn dẹp|giặt là|nấu ăn|salary_range,28,Huế,Giúp việc / Dịch vụ,family|location,retired,3088321,Huế,central,False,False,100,A
worker_0009,36,female,college,widowed,bán hàng|chăm sóc khách hàng|tư vấn|salary_range,8,Huế,Nhân viên bán hàng,,unemployed,0,Huế,central,False,False,100,A
worker_0010,50,female,university,widowed,bằng lái|lái xe|vận chuyển|salary_range,29,Thanh Hóa,Lái xe,,unemployed,0,Thanh Hóa,north,False,False,100,A
worker_0011,54,male,college,widowed,chăn nuôi|nông nghiệp|trồng trọt|salary_range,26,Buôn Ma Thuột,Nông dân / Nông nghiệp,,retired,5042683,Buôn Ma Thuột,central_highlands,False,False,100,A
worker_0012,43,male,primary,married,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,18,Buôn Ma Thuột,Nhân viên kho vận,other,unemployed,0,Buôn Ma Thuột,central_highlands,False,False,100,A
worker_0013,38,male,upper_secondary,divorced,chào hỏi|order|phục vụ|salary_range,12,Thanh Hóa,Nhân viên phục vụ,location,retired,12198654,Thanh Hóa,north,False,False,100,A
worker_0014,53,other,primary,married,bán hàng|chăm sóc khách hàng|tư vấn|salary_range,30,Nha Trang,Nhân viên bán hàng,health|family|other,employed,9186706,Nha Trang,central,False,False,100,A
worker_0015,44,other,university,widowed,dọn dẹp|giặt là|nấu ăn|salary_range,22,Nha Trang,Giúp việc / Dịch vụ,techGap,retired,6966515,Nha Trang,central,False,False,100,A
worker_0016,56,female,college,widowed,bằng lái|lái xe|vận chuyển|salary_range,26,Bình Dương,Lái xe,health|other,unemployed,0,Bình Dương,south_east,False,False,100,A
worker_0017,63,female,primary,divorced,chào hỏi|order|phục vụ|salary_range,30,Huế,Nhân viên phục vụ,health|other,retired,13192063,Huế,central,False,False,100,A
worker_0018,48,male,college,divorced,bán hàng|chăm sóc khách hàng|tư vấn|salary_range,20,Bắc Ninh,Nhân viên bán hàng,,retired,8229740,Bắc Ninh,north,False,False,100,A
worker_0019,63,female,upper_secondary,divorced,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,30,Huế,Nhân viên kho vận,,employed,5665709,Huế,central,False,False,100,A
worker_0020,58,female,primary,married,dọn dẹp|giặt là|nấu ăn|salary_range,30,Buôn Ma Thuột,Giúp việc / Dịch vụ,health,employed,11813252,Buôn Ma Thuột,central_highlands,False,False,100,A
worker_0021,47,male,upper_secondary,single,bằng lái|lái xe|vận chuyển|salary_range,19,Vinhy,Lái xe,other|techGap,retired,5586055,Vinh,north,False,False,100,A
worker_0022,43,female,college,single,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,18,Nha Trang,Nhân viên kho vận,,self-employed,14345541,Nha Trang,central,False,False,100,A
worker_0023,43,other,upper_secondary,divorced,sửa chữa|tay nghề|thợ|salary_range,20,Vũng Tàu,Thợ lành nghề,location|other,unemployed,0,Vũng Tàu,south_east,False,False,100,A
worker_0024,51,other,upper_secondary,single,chăn nuôi|nông nghiệp|trồng trọt|salary_range,30,Qui Nhơn,Nông dân / Nông nghiệp,,retired,3832881,Quy Nhơn,central,False,False,100,A
worker_0025,40,male,college,divorced,barista|pha chế|đồ uống|salary_range,14,Bắc Ninh,Pha chế,techGap,self-employed,12810541,Bắc Ninh,north,False,False,100,A
