age,experience_years,target_salary,skills_count,total_barriers,education_level,experience_age_ratio,age_exp_product,barrier_weighted,skill_density,salary_per_exp,age_squared,exp_ratio,risk_score_proxy,has_barriers,is_male,is_female,is_married,barrier_health,barrier_family,barrier_techGap,barrier_location,barrier_other,marital_status,region_central_highlands,region_mekong,region_north,region_north_central,region_south_east,region_unknown,emp_employed,emp_retired,emp_self-employed,emp_unemployed,job_type_freelance,job_type_full-time,job_type_part-time,job_type_temporary,marital_divorced,marital_married,marital_single,marital_widowed,skill_density,skill_an,skill_an pha,skill_an toan,skill_ban,skill_ban hang,skill_ban su,skill_ban sua,skill_ban ve,skill_ban đo,skill_bao,skill_bao duong,skill_bao ve,skill_bartender,skill_bartender ban,skill_bartender chan,skill_bartender che,skill_bartender giao,skill_bartender lap,skill_bartender pccc,skill_bien,skill_bien thuc,skill_cham,skill_cham soc,skill_chan,skill_chan nuoi,skill_chat,skill_chat luong,skill_che,skill_che bien,skill_che thu,skill_che đo,skill_chua,skill_dung,skill_dung may,skill_dung đoc,skill_duong,skill_duong xe,skill_gia,skill_gia may,skill_gian,skill_giao,skill_giao hang,skill_giao tiep,skill_giat,skill_giat ui,skill_goi,skill_hang,skill_hang nong,skill_hang pccc,skill_hanh,skill_hanh may,skill_ke,skill_ke toan,skill_khach,skill_khach hang,skill_kho,skill_kho van,skill_kiem,skill_kiem ke,skill_kiem tra,skill_lai,skill_lai xe,skill_lam,skill_lam viec,skill_lap,skill_lap rap,skill_lap đat,skill_lieu,skill_lieu phuc,skill_luong,skill_ly,skill_ly thoi,skill_mac,skill_may,skill_may mac,skill_may moc,skill_may nong,skill_moc,skill_mon,skill_mon an,skill_nau,skill_nau an,skill_ngan,skill_ngan van,skill_nghiep,skill_nguoi,skill_nguoi gia,skill_nha,skill_nhap,skill_nhap lieu,skill_nhom,skill_nhom lai,skill_nhom lap,skill_nhom thu,skill_nong,skill_nong nghiep,skill_nong san,skill_nuoc,skill_nuoc đong,skill_nuoi,skill_nuoi che,skill_nuoi ke,skill_nuoi lam,skill_nuoi pha,skill_nuoi thu,skill_nuoi tron,skill_pccc,skill_pccc su,skill_pccc sua,skill_pccc trang,skill_pccc tron,skill_pccc trong,skill_pccc van,skill_pha,skill_pha che,skill_pham,skill_pham giao,skill_pham lai,skill_pham pccc,skill_pham thu,skill_pham ve,skill_pham xay,skill_pham đong,skill_phuc,skill_phuc vu,skill_quan,skill_quan ly,skill_rap,skill_rap lap,skill_rap may,skill_rap pccc,skill_rap pha,skill_san,skill_sinh,skill_sinh an,skill_soc,skill_soc khach,skill_soc nguoi,skill_son,skill_son sua,skill_su,skill_su dung,skill_sua,skill_sua chua,skill_sua nha,skill_thoi,skill_thoi gian,skill_thu,skill_thu ngan,skill_thuc,skill_thuc pham,skill_tiep,skill_toan,skill_toan thuc,skill_tra,skill_tra chat,skill_trang,skill_trang tri,skill_tri,skill_tri mon,skill_tron,skill_tron vua,skill_trong,skill_trong trot,skill_trot,skill_ui,skill_uong,skill_van,skill_van hanh,skill_ve,skill_ve cham,skill_ve sinh,skill_ve đoc,skill_viec,skill_viec nhom,skill_vu,skill_vu ban,skill_vua,skill_xay,skill_xay dung,skill_xe,skill_xe nau,skill_xe tron,skill_xe trong,skill_xe van,skill_xe xay,skill_xe đoc,skill_xe đong,skill_đat,skill_đat nau,skill_đat nhap,skill_đat su,skill_đien,skill_đien nuoc,skill_đo,skill_đo uong,skill_đoc,skill_đoc ban,skill_đong,skill_đong goi,job_bán,job_bảo,job_chính,job_chế,job_công,job_dân,job_dịh,job_dựng,job_giúp,job_hàng,job_hành,job_kho,job_kế,job_lao,job_lành,job_lái,job_nghiệp,job_nghề,job_nhân,job_nông,job_pha,job_phục,job_sản,job_thợ,job_toán,job_viên,job_việc,job_vận,job_vệ,job_vụ,job_xe,job_xuất,job_xây,job_động,job_type_freelance,job_type_full-time,job_type_part-time,job_type_temporary,userId
45.0,7.3,4593860.0,1.0,0.0,1.0,0.6636363636363636,328.5,0.0,0.0625,553477.1084337349,2025.0,0.6636363636363636,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,single,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4644165151217385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4644165151217385,0.4644165151217385,0.0,0.0,0.3704985855961126,0.0,0.4644165151217385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,False,False,True,False,mock_user_0001
41.0,17.6,12642455.0,4.0,1.0,3.0,2.5142857142857147,721.6,1.0,0.3333333333333333,679701.8817204301,1681.0,2.5142857142857147,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,married,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,0.3333333333333333,0.16717408194091973,0.0,0.2213194940588202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17413636597798846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2213194940588202,0.25073985890563905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21394674273062797,0.14290149618321782,0.21394674273062797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1819710827800498,0.0,0.0,0.0,0.0,0.0,0.30809602800747765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2213194940588202,0.2213194940588202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1819710827800498,0.1819710827800498,0.0,0.4027711046658744,0.2213194940588202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15799728535860846,0.0,0.2213194940588202,0.0,0.0,0.0,0.0,0.0,0.0,0.21394674273062797,0.21394674273062797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40824829046386296,0.0,0.0,0.8164965809277259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,mock_user_0064
55.0,28.4,19066966.0,4.0,0.0,5.0,1.3523809523809522,1562.0,0.0,0.15384615384615385,648536.2585034014,3025.0,1.3523809523809522,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,married,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1747132740981725,0.0,0.0,0.2568478728604026,0.0,0.17837832159712136,0.212402669261363,0.0,0.0,0.0,0.0,0.0,0.0,0.1908277750953458,0.0,0.22671082898288275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1463825714963062,0.0,0.0,0.212402669261363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212402669261363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20071205154052763,0.212402669261363,0.0,0.212402669261363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212402669261363,0.212402669261363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212402669261363,0.212402669261363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22671082898288275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2568478728604026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212402669261363,0.212402669261363,0.20629129715271177,0.2568478728604026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51679604138477,0.0,0.51679604138477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51679604138477,0.0,0.0,0.44583130758964545,0.0,0.0,0.0,0.0,False,False,True,False,mock_user_0074
36.0,9.7,11741435.0,2.0,1.0,6.0,4.85,349.2,1.5,0.2857142857142857,1097330.3738317757,1296.0,4.85,2.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,single,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27285769237702345,0.27285769237702345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331858916836432,0.0,0.0,0.0,0.0,0.0,0.3443921766802534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3443921766802534,0.3443921766802534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27285769237702345,0.0,0.3443921766802534,0.0,0.0,0.0,0.0,0.28628914113201265,0.331858916836432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,False,False,True,False,mock_user_0073
51.0,26.5,15622167.0,3.0,1.0,2.0,1.5588235294117647,1351.5,1.5,0.13636363636363635,568078.8,2601.0,1.5588235294117647,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,divorced,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,0.13636363636363635,0.16334952853943438,0.0,0.2162562198120574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17780800848325562,0.17780800848325562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17015253174309325,0.20260787073351988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15722802526798377,0.0,0.0,0.0,0.0,0.0,0.0,0.20905213985231633,0.20905213985231633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1396322429774606,0.0,0.0,0.20260787073351988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20260787073351988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1914563575617931,0.20260787073351988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17780800848325562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2162562198120574,0.2162562198120574,0.17780800848325562,0.20905213985231633,0.0,0.0,0.0,0.20260787073351988,0.20260787073351988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17780800848325562,0.17780800848325562,0.0,0.19677832021751193,0.2162562198120574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15438267567672448,0.0,0.2162562198120574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5388789994774341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3589265548362209,0.0,0.0,0.0,0.5388789994774341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5388789994774341,0.0,0.0,False,True,False,False,mock_user_0072
50.0,25.9,15935979.0,2.0,0.0,5.0,1.61875,1295.0,0.0,0.09523809523809523,592415.5762081784,2500.0,1.61875,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,married,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,0.09523809523809523,0.16741930221957993,0.0,0.22164413785154172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21426057175999502,0.21426057175999502,0.0,0.0,0.0,0.0,0.0,0.0,0.17080866045279783,0.21426057175999502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36447601625165826,0.0,0.0,0.0,0.0,0.3085479604659361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22164413785154172,0.22164413785154172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36447601625165826,0.36447601625165826,0.0,0.20168095590679186,0.22164413785154172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15822904459959466,0.0,0.22164413785154172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5854649027399041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5854649027399041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3590697964866075,0.0,0.0,0.0,0.0,0.0,0.0,0.4307326044898103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,mock_user_0071
62.0,23.9,23251925.0,2.0,1.0,6.0,0.8535714285714285,1481.8,0.5,0.06060606060606061,933812.248995984,3844.0,0.8535714285714285,5.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,married,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,0.06060606060606061,0.1927439559703197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20077114626389572,0.23906675988032824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1647587913667439,0.0,0.0,0.23906675988032824,0.0,0.28909141754397233,0.28909141754397233,0.0,0.0,0.0,0.0,0.23906675988032824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22590855377473265,0.23906675988032824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23906675988032824,0.23906675988032824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28909141754397233,0.28909141754397233,0.28909141754397233,0.28909141754397233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,False,False,False,True,mock_user_0070
42.0,3.7,3700716.0,1.0,1.0,0.0,0.4625,155.4,1.0,0.07692307692307693,787386.3829787234,1764.0,0.4625,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,married,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.511452210815637,0.0,0.6076251459789156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6076251459789156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5854649027399041,0.0,0.0,0.0,0.0,0.0,0.0,0.3590697964866075,0.0,0.0,0.0,0.0,0.0,0.0,0.4307326044898103,0.0,0.5854649027399041,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,mock_user_0069
65.0,34.9,27909164.0,3.0,0.0,6.0,1.1258064516129032,2268.5,0.0,0.08333333333333333,777414.0389972145,4225.0,1.1258064516129032,3.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,married,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28875966519093677,0.0,0.3430577285698994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3709707713033912,0.3709707713033912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3316295471766773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3316295471766773,0.3316295471766773,0.0,0.0,0.3430577285698994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2758034617096938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5854649027399041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5854649027399041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3590697964866075,0.0,0.0,0.0,0.0,0.0,0.0,0.4307326044898103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,mock_user_0068
56.0,35.9,14398112.0,1.0,3.0,0.0,1.6318181818181818,2010.3999999999999,3.0,0.037037037037037035,390192.7371273713,3136.0,1.6318181818181818,5.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,married,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6258882532277146,0.6258882532277146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46532546560780513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,mock_user_0067
