id,userId,data_source,exported_at,age,gender,province,education,marital_status,experience_years,employment_status,target_job,target_salary,target_province,preferred_job_type,skills,skills_count,barrier_health,barrier_family,barrier_techGap,barrier_location,barrier_other,total_barriers,current_step,is_completed,created_at,updated_at,training_weight,merged_at,age_group,has_barriers,experience_age_ratio,education_level,is_male,is_female,is_married,cleaned_at
mock_0001,mock_user_0001,mock_script,2026-04-10T18:52:04.899005,45,female,Hải Dương,primary,single,7.3,retired,Bảo vệ,4593860,Thái Bình,part-time,sơn sửa nhà,1,0,0,0,0,0,0,4,True,2026-04-10T18:52:04.899018,2026-04-10T18:52:04.899020,0.5,2026-04-10T18:52:04.953429,45-49,0,0.6636363636363636,1,0,1,0,2026-04-10T19:11:53.780708
mock_0064,mock_user_0064,mock_script,2026-04-10T18:52:04.900734,41,female,Lâm Đồng,high,married,17.6,employed,Nông dân / Nông nghiệp,12642455,Nghệ An,full-time,kế toán|may mặc|vệ sinh an toàn thực phẩm|xây dựng,4,0,0,1,0,0,1,4,True,2026-04-10T18:52:04.900737,2026-04-10T18:52:04.900738,0.5,2026-04-10T18:52:04.953429,35-44,1,2.5142857142857147,3,0,1,1,2026-04-10T19:11:53.780708
mock_0074,mock_user_0074,mock_script,2026-04-10T18:52:04.901016,55,male,Thanh Hóa,college,married,28.4,retired,Giúp việc / Dịh vụ,19066966,Đắk Lắk,part-time,giao tiếp|pha chế đồ uống|sử dụng máy nông nghiệp|điện nước,4,0,0,0,0,0,0,4,True,2026-04-10T18:52:04.901020,2026-04-10T18:52:04.901021,0.5,2026-04-10T18:52:04.953429,55-59,0,1.3523809523809522,5,1,0,1,2026-04-10T19:11:53.780708
mock_0073,mock_user_0073,mock_script,2026-04-10T18:52:04.900993,36,male,Hà Nam,university,single,9.7,retired,Bảo vệ,11741435,Nam Định,part-time,chăm sóc người già|sửa chữa,2,0,1,0,0,0,1,4,True,2026-04-10T18:52:04.900996,2026-04-10T18:52:04.900997,0.5,2026-04-10T18:52:04.953429,35-44,1,4.85,6,1,0,0,2026-04-10T19:11:53.780708
mock_0072,mock_user_0072,mock_script,2026-04-10T18:52:04.900970,51,female,Buôn Ma Thuột,middle,divorced,26.5,self-employed,Công nhân sản xuất,15622167,Biên Hòa,full-time,chăm sóc khách hàng|sử dụng máy nông nghiệp|vệ sinh an toàn thực phẩm,3,0,1,0,0,0,1,4,True,2026-04-10T18:52:04.900974,2026-04-10T18:52:04.900975,0.5,2026-04-10T18:52:04.953429,50-54,1,1.5588235294117647,2,0,1,0,2026-04-10T19:11:53.780708
mock_0071,mock_user_0071,mock_script,2026-04-10T18:52:04.900947,50,male,Bình Dương,college,married,25.9,unemployed,Nhân viên bán hàng,15935979,Đà Lạt,full-time,chế biến thực phẩm|vệ sinh an toàn thực phẩm,2,0,0,0,0,0,0,4,True,2026-04-10T18:52:04.900950,2026-04-10T18:52:04.900951,0.5,2026-04-10T18:52:04.953429,50-54,0,1.61875,5,1,0,1,2026-04-10T19:11:53.780708
mock_0070,mock_user_0070,mock_script,2026-04-10T18:52:04.900919,62,male,Thái Nguyên,university,married,23.9,unemployed,Lái xe,23251925,Đắk Lắk,temporary,sử dụng máy nông nghiệp|trang trí món ăn,2,0,0,0,1,0,1,4,True,2026-04-10T18:52:04.900923,2026-04-10T18:52:04.900925,0.5,2026-04-10T18:52:04.953429,60-70,1,0.8535714285714285,6,1,0,1,2026-04-10T19:11:53.780708
mock_0069,mock_user_0069,mock_script,2026-04-10T18:52:04.900883,42,female,TP. Hồ Chí Minh,none,married,3.7,retired,Nhân viên kho vận,3700716,Qui Nhơn,part-time,giao tiếp,1,0,0,1,0,0,1,4,True,2026-04-10T18:52:04.900888,2026-04-10T18:52:04.900891,0.5,2026-04-10T18:52:04.953429,35-44,1,0.4625,0,0,1,1,2026-04-10T19:11:53.780708
mock_0068,mock_user_0068,mock_script,2026-04-10T18:52:04.900845,65,female,Nha Trang,university,married,34.9,self-employed,Nhân viên bán hàng,27909164,Cần Thơ,part-time,giao tiếp|kho vận|thu ngân,3,0,0,0,0,0,0,4,True,2026-04-10T18:52:04.900850,2026-04-10T18:52:04.900853,0.5,2026-04-10T18:52:04.953429,60-70,0,1.1258064516129032,6,0,1,1,2026-04-10T19:11:53.780708
mock_0067,mock_user_0067,mock_script,2026-04-10T18:52:04.900811,56,female,Lâm Đồng,none,married,35.9,employed,Pha chế,14398112,Vĩnh Phúc,part-time,kho vận,1,0,1,1,0,1,3,4,True,2026-04-10T18:52:04.900816,2026-04-10T18:52:04.900818,0.5,2026-04-10T18:52:04.953429,55-59,1,1.6318181818181818,0,0,1,1,2026-04-10T19:11:53.780708
mock_0066,mock_user_0066,mock_script,2026-04-10T18:52:04.900784,51,male,Hà Nội,high,single,14.8,self-employed,Giúp việc / Dịh vụ,9825307,Vĩnh Phúc,part-time,pccc|trộn vữa|đọc bản vẽ|đọc bản đồ,4,0,1,0,0,0,1,4,True,2026-04-10T18:52:04.900788,2026-04-10T18:52:04.900789,0.5,2026-04-10T18:52:04.953429,50-54,1,0.8705882352941177,3,1,0,0,2026-04-10T19:11:53.780708
mock_0065,mock_user_0065,mock_script,2026-04-10T18:52:04.900756,39,male,Hải Dương,none,single,9.0,employed,Bảo vệ,6140936,Thái Nguyên,full-time,giặt ủi|kế toán|thu ngân,3,0,0,1,0,0,1,4,True,2026-04-10T18:52:04.900759,2026-04-10T18:52:04.900761,0.5,2026-04-10T18:52:04.953429,35-44,1,1.8,0,1,0,0,2026-04-10T19:11:53.780708
mock_0063,mock_user_0063,mock_script,2026-04-10T18:52:04.900711,51,male,Hải Phòng,college,married,13.0,unemployed,Nông dân / Nông nghiệp,9837786,Bắc Ninh,full-time,chăn nuôi|pha chế đồ uống|sửa chữa,3,1,1,1,0,0,3,4,True,2026-04-10T18:52:04.900714,2026-04-10T18:52:04.900716,0.5,2026-04-10T18:52:04.953429,50-54,1,0.7647058823529411,5,1,0,1,2026-04-10T19:11:53.780708
mock_0002,mock_user_0002,mock_script,2026-04-10T18:52:04.899065,52,female,Hà Nam,university,divorced,29.7,unemployed,Nhân viên phục vụ,27448851,Bình Dương,full-time,chăm sóc người già|lái xe|đọc bản đồ,3,1,0,0,0,0,1,4,True,2026-04-10T18:52:04.899071,2026-04-10T18:52:04.899072,0.5,2026-04-10T18:52:04.953429,50-54,1,1.65,6,0,1,0,2026-04-10T19:11:53.780708
mock_0062,mock_user_0062,mock_script,2026-04-10T18:52:04.900688,43,male,Đắk Lắk,university,married,20.8,retired,Nhân viên bán hàng,17815362,Qui Nhơn,part-time,chăm sóc khách hàng|lắp đặt|nấu ăn,3,0,0,0,1,0,1,4,True,2026-04-10T18:52:04.900691,2026-04-10T18:52:04.900693,0.5,2026-04-10T18:52:04.953429,35-44,1,2.311111111111112,6,1,0,1,2026-04-10T19:11:53.780708
mock_0061,mock_user_0061,mock_script,2026-04-10T18:52:04.900665,60,female,Vinh,vocational,single,32.4,unemployed,Nông dân / Nông nghiệp,24846665,Đà Nẵng,freelance,nhập liệu|sửa chữa|trang trí món ăn|vệ sinh an toàn thực phẩm,4,0,0,1,0,0,1,4,True,2026-04-10T18:52:04.900668,2026-04-10T18:52:04.900669,0.5,2026-04-10T18:52:04.953429,60-70,1,1.2461538461538462,4,0,1,0,2026-04-10T19:11:53.780708
