userId,risk_level,risk_score_proxy
mock_user_0001,low,1.0
mock_user_0064,low,1.0
mock_user_0074,low,3.0
mock_user_0073,low,2.5
mock_user_0072,low,3.0
mock_user_0071,low,3.0
mock_user_0070,medium,5.5
mock_user_0069,low,3.0
mock_user_0068,medium,3.5
mock_user_0067,medium,5.0
mock_user_0066,low,3.0
mock_user_0065,low,1.0
mock_user_0063,high,7.5
mock_user_0002,medium,5.0
mock_user_0062,low,1.5
mock_user_0061,medium,6.0
mock_user_0060,medium,3.5
mock_user_0059,low,0.0
mock_user_0058,low,3.0
mock_user_0057,medium,3.5
mock_user_0056,medium,6.0
mock_user_0055,medium,3.5
mock_user_0054,low,0.5
mock_user_0053,high,7.0
mock_user_0075,medium,5.5
mock_user_0076,medium,5.5
mock_user_0077,medium,6.0
mock_user_0078,medium,4.5
mock_user_0099,low,2.5
mock_user_0098,low,3.0
mock_user_0097,low,3.0
mock_user_0096,medium,6.0
mock_user_0095,low,1.0
mock_user_0094,low,3.0
mock_user_0093,low,1.0
mock_user_0092,medium,5.5
mock_user_0091,low,0.5
mock_user_0090,medium,6.0
mock_user_0089,low,3.0
mock_user_0088,low,2.5
mock_user_0087,low,3.0
mock_user_0086,medium,4.0
mock_user_0085,medium,4.0
mock_user_0084,low,2.0
mock_user_0083,low,1.0
mock_user_0082,low,0.5
mock_user_0081,low,2.5
mock_user_0080,low,1.0
mock_user_0079,low,2.0
mock_user_0052,low,3.0
mock_user_0051,low,3.0
mock_user_0050,low,2.0
mock_user_0025,medium,5.5
mock_user_0023,low,0.0
mock_user_0022,low,1.0
mock_user_0021,low,1.0
mock_user_0020,medium,5.0
mock_user_0019,medium,4.0
mock_user_0018,low,2.0
mock_user_0017,medium,4.5
mock_user_0016,low,3.0
mock_user_0015,low,2.5
mock_user_0014,low,1.0
mock_user_0013,low,2.5
mock_user_0012,low,2.0
mock_user_0011,medium,5.0
mock_user_0010,low,2.0
mock_user_0009,medium,4.5
mock_user_0008,low,1.5
mock_user_0007,low,2.5
mock_user_0006,low,1.5
mock_user_0005,low,2.5
mock_user_0004,low,0.5
mock_user_0003,low,1.5
mock_user_0024,low,2.0
mock_user_0026,low,3.0
mock_user_0049,low,3.0
mock_user_0027,low,1.0
mock_user_0048,medium,5.0
mock_user_0047,medium,5.5
mock_user_0046,high,8.5
mock_user_0045,medium,4.0
mock_user_0044,low,3.0
mock_user_0043,low,3.0
mock_user_0042,low,0.0
mock_user_0041,medium,5.0
mock_user_0040,medium,4.0
mock_user_0039,high,8.5
mock_user_0038,low,2.0
mock_user_0037,low,0.0
mock_user_0036,low,2.5
mock_user_0035,low,1.0
mock_user_0034,low,1.0
mock_user_0033,medium,4.5
mock_user_0032,low,2.5
mock_user_0031,low,2.5
mock_user_0030,low,3.0
mock_user_0029,high,6.5
mock_user_0028,high,6.5
mock_user_0100,low,2.5
