feature,importance
risk_score_proxy,0.23702249683575755
barrier_weighted,0.0887197039335185
age_squared,0.08683126621859971
age,0.07547834628916636
age_exp_product,0.07113440766439899
experience_years,0.05772747345510185
total_barriers,0.042607325060500724
target_salary,0.036490289321635866
barrier_health,0.03523920742092596
experience_age_ratio,0.03400235417347939
is_male,0.029972186444516092
salary_per_exp,0.02475552523743295
is_female,0.02327762867105651
emp_unemployed,0.022429583344989363
exp_ratio,0.02164503411513444
skill_density,0.01885586888577001
education_level,0.015659450546857568
emp_employed,0.015065613977486366
barrier_family,0.013097496603450172
barrier_techGap,0.010594020529446739
has_barriers,0.008885214190572775
marital_married,0.0048368986773791745
is_married,0.004548144382528954
skills_count,0.004206099604304963
barrier_other,0.0032863464983888106
job_type_full-time,0.002775220610082057
barrier_location,0.0026748082169515755
job_type_temporary,0.002417793549601422
job_type_part-time,0.0017856977905657465
emp_self-employed,0.0011923823814323645
emp_retired,0.001131628174438584
marital_single,0.000676262692743165
job_type_freelance,0.0006073687338220906
marital_divorced,0.00037085576796321625
