feature,importance
risk_score_proxy,0.2625516
barrier_health,0.1558243
barrier_weighted,0.10224418
age,0.08844084
age_exp_product,0.054281417
experience_years,0.052341912
is_male,0.047491252
barrier_family,0.043662295
target_salary,0.032392174
job_nhân,0.029683035
barrier_location,0.02434344
is_female,0.023805711
salary_per_exp,0.017852824
skills_count,0.01772765
experience_age_ratio,0.0144308675
barrier_techGap,0.013558935
exp_ratio,0.012911693
education_level,0.0064558564
has_barriers,0.0
total_barriers,0.0
is_married,0.0
barrier_other,0.0
job_bán,0.0
age_squared,0.0
job_bảo,0.0
job_chính,0.0
job_công,0.0
job_chế,0.0
job_dịh,0.0
job_dựng,0.0
job_giúp,0.0
job_dân,0.0
job_hành,0.0
job_kho,0.0
job_kế,0.0
job_lao,0.0
job_lành,0.0
job_lái,0.0
job_nghiệp,0.0
job_hàng,0.0
job_nghề,0.0
job_nông,0.0
job_pha,0.0
job_phục,0.0
job_sản,0.0
job_thợ,0.0
job_toán,0.0
job_viên,0.0
job_việc,0.0
job_vận,0.0
job_vệ,0.0
job_vụ,0.0
job_xe,0.0
job_xuất,0.0
job_xây,0.0
job_động,0.0
